名次,上次,aid,标题,mid,up主,投稿时间,时长,分P数,播放增量,弹幕增量,评论增量,收藏增量,硬币增量,分享增量,点赞增量,Pt,修正A,修正B,修正C,Last Pt,rate,长期入榜及期数,新曲排名
73,——,344008614,【诗岸/中文填词】ヨルシカ - 言って。/说吧。,7944342,ony_p,2022/08/03 12:00,244,1,1724,3,11,120,44,17,165,9714.0,1.0,15.313,0.911,,,,
74,——,728663032,星尘海伊原创曲《静夜魅影》【海伊2022诞生日】 杨桃留声机系列,434565426,杨桃座,2022/07/22 07:20,256,1,836,1,7,106,60,5,130,9556.0,0.577,39.713,0.913,,,,
75,NEW,941865968,【预告】给某人的印象曲——背刺皇后,385667262,依V为耶,2022/08/10 18:30,53,1,800,0,78,34,45,22,189,9544.0,1.0,19.75,0.53,,,,36
76,——,556140127,日本P主ロルカ【死にたいのに死ねない】，想要离开却离不开,1926390331,ロルカ_official,2022/07/22 05:56,212,1,4489,0,5,433,102,46,507,9435.0,0.237,13.633,0.99,,,,
77,——,301593684,浅翻一下十年前的阳炎，星尘 - 夕景昨日,3092339,晴海再不画画就剁手,2022/08/02 19:49,262,1,989,1,30,70,41,10,171,9362.0,1.0,22.447,0.772,,,,
78,——,386094939,【魔女之旅填词】最伟大的作品feat.星尘infinity,6554005,镜音弃子酱,2022/07/22 17:00,139,1,1073,35,4,79,86,3,174,9177.0,0.555,30.755,0.575,,,,
79,——,258435790,【海伊2022诞生日】远溯『平行四界Quadimension X-3』专辑原创曲【五维介质】,277698869,海伊Official,2022/07/22 10:00,226,1,10323,6,8,310,188,26,363,8339.0,0.147,9.648,0.979,,,,
80,——,855995378,【Fulgur Ovid原创曲手书】问 qUestIOn【Kevin】【Dreamtonics2022创作大赛】,9080215,音淼Carina,2022/07/15 14:30,215,1,1444,0,4,142,62,8,209,7890.0,0.377,25.762,0.976,,,,
81,——,889794346,【苍穹/赤羽原创】不赴【忘川风华录】,326258472,忘川风华录,2021/08/13 18:00,242,1,17677,14,24,310,246,129,396,7778.0,0.103,6.291,0.969,,,,
82,——,428989496,师父：徒弟下山后，我发觉事情有点不对劲-【秦时·纵横】填词翻唱,8301371,八瓦节能灯,2022/07/28 17:48,171,1,6779,18,22,175,167,25,446,7746.0,0.172,10.09,0.914,,,,
83,——,501314235,万象霜天【2021拜年纪单品】,326258472,忘川风华录,2021/02/11 22:12,241,1,21894,9,59,222,351,133,440,7626.0,0.092,5.234,0.965,,,,
84,——,428041429,【星尘Infinity】彼岸星团 stellaris灰风同人曲 原曲：匆匆那年,350978889,上古复读机,2022/07/03 22:35,240,1,4738,13,3,189,140,10,242,7601.0,0.216,13.888,0.935,,,,
85,——,630238317,【原神】【空&荧】错位时空,4904669,圣光kirlia,2021/04/24 10:45,202,1,6718,15,8,221,142,25,359,7574.0,0.172,10.807,0.94,,,,
86,NEW,601841924,【沨漪】心墙（feat.郭静）,525227036,不会调校の字母P,2022/08/07 21:40,233,1,436,0,48,50,27,5,123,7344.0,1.0,35.321,0.517,,,,37
87,——,850903846,【星尘Infinity】淋雨一直走【2022版】,108845996,瑞安Ryan不跑调,2022/01/26 19:20,217,1,7321,1,12,234,146,114,245,7326.0,0.159,10.381,0.982,,,,
88,——,856175904,【奥拉星x赛尔号】倾国【女性向】【feat.沨漪】,111658472,十辰HERO,2022/07/23 11:00,202,1,2334,15,27,95,107,30,190,7061.0,0.32,17.309,0.797,,,,
89,——,686528901,[Talkloid] 变态ZERO剧场　第3集：食物的怨恨像火一样燃烧着![中文翻译],1701951324,玄川静夢,2022/08/03 20:00,556,1,1356,7,8,74,29,13,120,6939.0,1.0,12.832,0.851,,,,
90,NEW,259158807,【星尘Infinity】QUEEN - Kanaria【Synthesizer V Cover】,33301398,呵呵哒的小米,2022/08/06 22:18,143,1,1587,2,22,72,15,5,148,6765.0,1.0,5.671,0.861,,,,38
91,NEW,644335013,【牧心】New Romantics【中文翻填】【牧心出道日48h】,1902346618,L_飞译,2022/08/08 12:00,229,1,217,0,18,41,24,11,62,6670.0,1.015,59.908,0.61,,,,39
92,——,813801561,【诗岸原创】细雨归途（新人初投稿）,544715,抹茶红豆糯米糍,2022/07/24 23:58,159,1,1005,2,15,132,41,2,218,6446.0,0.427,24.478,0.855,,,,
93,——,344189630,【海伊/翻调】最终祈愿【Synthesizer V Cover】,27081552,沫雪明月_Official,2022/08/04 15:54,287,1,1145,3,61,74,7,5,150,6412.0,1.0,3.668,0.642,,,,
94,——,601464454,【五维介质全员×Minus原创古风】石上三年【陌云阁×随音社】,353784518,1mol梨花茶,2022/07/30 19:00,231,1,949,8,13,71,33,10,88,6406.0,1.0,20.864,0.761,,,,
95,——,471389164,「负片」5/7 - 狂乱 feat. 星尘minus【复响、沈病娇】,46473,复响,2022/08/01 17:05,190,1,1158,0,5,74,43,11,74,6340.0,1.0,20.207,0.962,,,,
96,NEW,941769305,【星尘infinity原创】《星声》【2022星尘诞生日】,12131593,尊贵的阿昆达,2022/08/12 00:00,339,1,68,0,17,12,26,7,44,6272.0,1.5,100.0,0.384,,,,40
97,NEW,386630620,【诗岸】山风【Tham】,68408839,ThamStudio,2022/08/05 12:00,104,1,541,0,17,62,26,4,99,6094.0,1.0,28.835,0.787,,,,41
98,——,729017160,【星尘infinity&MINUS翻唱】黑暗骑士——纪念南昌起义95周年,34053160,江久茗,2022/08/01 17:00,308,1,994,0,9,81,35,2,87,6006.0,1.0,21.127,0.925,,,,
99,NEW,983754207,【牧心原创】慕星|听 尘星的蜂鸣【牧心出道日48h】,491642429,绮概,2022/08/08 20:00,191,1,149,1,18,39,18,0,46,5983.0,1.286,72.483,0.501,,,,42
100,——,383039600,10w播放我发给茶理理,74550390,伊野奏,2022/04/10 11:10,123,1,9043,2,15,214,116,145,410,5892.0,0.115,7.298,0.979,,,,
101,——,344063118,送 走 失 恋 的 楠 酮 朋 友,168500247,六柒_P,2022/08/03 00:35,114,1,1241,2,9,36,6,21,114,5889.0,1.0,2.901,0.902,,,,
102,NEW,386682975,火花【牧心出道日48h】【COVER 洛天依】,178711535,卢克爱喝快乐水,2022/08/08 11:00,179,1,208,0,27,35,21,4,72,5868.0,1.059,53.846,0.494,,,,43
103,——,544620737,【赤羽原创】千秋梦【忘川风华录】,326258472,忘川风华录,2021/03/12 18:00,274,1,16828,13,13,251,205,83,393,5766.0,0.087,5.42,0.974,,,,
104,NEW,771735099,【夏色花梨】あおぞらサイダー ('90s star child mix) 【SynthesizerVカバー】,87684963,啊阿阿阿阿然,2022/08/07 05:55,287,1,1219,0,9,122,19,21,95,5736.0,1.0,9.352,0.938,,,,44
105,——,471585335,【星尘Minusx牧心原创】悲空之螺旋,7968848,落叶brs,2022/07/31 18:35,206,1,565,0,7,73,29,4,70,5608.0,1.0,30.796,0.905,,,,
106,NEW,814224376,【小春六花AI】 ハレハレヤ 超强调教 [朗朗晴天],16943459,x桑家今天的饭,2022/08/05 21:44,209,1,402,1,18,43,27,5,79,5603.0,1.0,34.826,0.697,,,,45
107,——,983351478,尤里卡！ / 初音ミク,1829236187,Satsukiサツキ,2022/07/18 18:00,215,1,2511,0,8,312,47,25,422,5471.0,0.232,11.231,0.973,,,,
108,——,686188639,爱你，但是吃小孩【济南/战舰少女R/星尘Infinity】,14425668,千草幻星_gensei,2022/07/23 12:00,50,1,1118,2,7,49,91,7,105,5394.0,0.385,25.045,0.913,,,,
109,——,545573986,稲葉曇『ハルノ寂寞』Vo. 弦巻マキ / 稻叶昙 - 春日寂寞 (Vo. Tsurumaki Maki),26040194,稲葉曇,2021/05/13 12:15,190,1,7151,4,3,211,119,44,213,5361.0,0.139,9.229,0.983,,,,
110,——,729040367,【不可解参应援】【星尘infinity 原创】未命名魔法,34829288,ARCADIA-瑶光,2022/08/02 19:00,174,1,367,0,8,30,43,3,62,5349.0,1.0,39.782,0.846,,,,
111,——,203314453,【洛天依海伊原创】“我买下了夜晚的所有光”,545197141,一碗热汤p,2021/01/02 08:00,234,1,1733,3,4,106,65,14,116,5245.0,0.298,19.735,0.943,,,,
